<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<CLAVRG>,,,,,,,
SBERP,D,20100111,0,71.6,74.25,71.15,71.94,42062610,0.652919095,,,,,,110.1821045,
SBERP,D,20100112,0,71.56,73.66,70.8,72.43,44700443,0.657366279,,,,,,,
SBERP,D,20100113,0,71.5,73.79,71.5,73.13,37694300,0.663719397,,,,,,,
SBERP,D,20100114,0,73.95,74.6,72.8,73.22,30303860,0.664536227,,,,,,,
SBERP,D,20100115,0,73.3,73.65,72.6,72.88,18935977,0.661450426,,,,,,,
SBERP,D,20100118,0,72.27,73.94,71.9,73.91,24203415,0.670798587,,,,,,,
SBERP,D,20100119,0,73.92,74.45,72.2,73.55,33789039,0.667531269,,,,,,,
SBERP,D,20100120,0,73.4,73.77,72.02,72.14,19860399,0.654734272,,,,,,,
SBERP,D,20100121,0,72.49,72.78,70.5,70.74,27047713,0.642028035,,,,,,,
SBERP,D,20100122,0,69.67,70,66.91,68.2,32996719,0.618975289,,,,,,,
SBERP,D,20100125,0,67.25,70.83,66.33,70.25,46125144,0.637580851,,,,,,,
SBERP,D,20100126,0,69,69.89,67.9,69.29,36234778,0.628868003,,,,,,,
SBERP,D,20100127,0,69.2,71.57,68.32,71.3,57888122,0.64711053,,,,,,,
SBERP,D,20100128,0,72.28,73.69,71.6,72.17,59822621,0.655006549,,,,,,,
SBERP,D,20100129,0,71.5,73.2,71.37,72.72,34603386,0.659998285,,,,,,,
SBERP,D,20100201,0,71.92,72.49,71.52,72.1,17434595,0.654371237,,,,,,,
SBERP,D,20100202,0,72.6,73.2,72.31,72.68,24177752,0.65963525,,,,,,,
SBERP,D,20100203,0,73.05,73.5,72.1,72.3,22256890,0.656186414,,,,,,,
SBERP,D,20100204,0,72.17,72.64,69.47,69.78,22042656,0.633315186,,,,,,,
SBERP,D,20100205,0,68.3,70,66.85,68.39,49556721,0.620699707,,,,,,,
SBERP,D,20100208,0,68.11,68.95,65.81,66.05,31696216,0.599462139,,,,,,,
SBERP,D,20100209,0,66.6,67.34,65.57,66.88,28123981,0.606995122,,,,,,,
SBERP,D,20100210,0,67.55,69.15,65.65,66.29,35796013,0.601640351,,,,,,,
SBERP,D,20100211,0,67.4,67.99,66.25,66.6,23085632,0.604453875,,,,,,,
SBERP,D,20100212,0,67.27,67.35,63.95,64,23470322,0.580856576,,,,,,,
